i,decision_date,entry_date,exit_date,candidate,long_symbols,short_symbols,gross_unit_return,eligible_count,net_return,before,after,log
346,2023-03-16,2023-03-17,2023-03-20,drawdown_recovery_k1,"[""LDOUSDT""]","[""QNTUSDT""]",-0.020652854862935,4,-0.00791321371573375,0.9174210011273785,0.9101612526781551,-0.007944689350300954
347,2023-03-19,2023-03-20,2023-03-23,drawdown_recovery_k1,"[""LDOUSDT""]","[""QNTUSDT""]",0.004807822156403629,4,-0.0015480444608990927,0.9101612526781551,0.9087522825924217,-0.0015492439197624499
348,2023-03-22,2023-03-23,2023-03-26,drawdown_recovery_k1,"[""QNTUSDT""]","[""APTUSDT""]",0.09320676174948794,2,0.020551690437371983,0.9087522825924217,0.9274286781885163,0.020343354054927848
349,2023-03-25,2023-03-26,2023-03-29,drawdown_recovery_k1,"[""APTUSDT""]","[""QNTUSDT""]",-0.024594693189072814,2,-0.008898673297268204,0.9274286781885163,0.9191757933747994,-0.008938502953952338
350,2023-03-28,2023-03-29,2023-04-01,drawdown_recovery_k1,"[""APTUSDT""]","[""QNTUSDT""]",-0.01996504006915467,2,-0.007741260017288668,0.9191757933747994,0.9120602145566874,-0.007771379111132045
351,2023-03-31,2023-04-01,2023-04-04,drawdown_recovery_k1,"[""APTUSDT""]","[""QNTUSDT""]",0.009264103892483555,2,-0.0004339740268791113,0.9120602145566874,0.9116644041126201,-0.0004340682208598742
352,2023-04-03,2023-04-04,2023-04-07,drawdown_recovery_k1,"[""APTUSDT""]","[""QNTUSDT""]",0.027715324165064503,2,0.004178831041266126,0.9116644041126201,0.9154740956237432,0.004170123975306971
353,2023-04-06,2023-04-07,2023-04-10,drawdown_recovery_k1,"[""APTUSDT""]","[""QNTUSDT""]",-0.036360424922068146,2,-0.011840106230517039,0.9154740956237432,0.9046347850802715,-0.011910758529197617
354,2023-04-09,2023-04-10,2023-04-13,drawdown_recovery_k1,"[""APTUSDT""]","[""QNTUSDT""]",0.024415454327137764,2,0.0033538635817844413,0.9046347850802715,0.9076688067407677,0.0033482519249755983
355,2023-04-12,2023-04-13,2023-04-16,drawdown_recovery_k1,"[""APTUSDT""]","[""QNTUSDT""]",0.12877212375513925,2,0.02944303093878481,0.9076688067407677,0.934393327499806,0.02901790932396707
356,2023-04-15,2023-04-16,2023-04-19,drawdown_recovery_k1,"[""QNTUSDT""]","[""APTUSDT""]",-0.01928122704309898,2,-0.007570306760774745,0.934393327499806,0.9273196833754114,-0.007599106976045111
357,2023-04-18,2023-04-19,2023-04-22,drawdown_recovery_k1,"[""QNTUSDT""]","[""FETUSDT""]",0.12654092692350227,2,0.028885231730875566,0.9273196833754114,0.9541055273183123,0.028475916842320467
358,2023-04-21,2023-04-22,2023-04-25,drawdown_recovery_k1,"[""FETUSDT""]","[""FXSUSDT""]",-0.010552923742186637,2,-0.005388230935546659,0.9541055273183123,0.9489645864002397,-0.005402799809057231
359,2023-04-24,2023-04-25,2023-04-28,drawdown_recovery_k1,"[""FETUSDT""]","[""HOOKUSDT""]",-0.03340628436216719,3,-0.0111015710905418,0.9489645864002397,0.938429588581911,-0.011163653432847587
360,2023-04-27,2023-04-28,2023-05-01,drawdown_recovery_k1,"[""MAGICUSDT""]","[""HOOKUSDT""]",0.04592843472180208,4,0.008732108680450518,0.938429588581911,0.9466240577383588,0.00869420431630884
361,2023-04-30,2023-05-01,2023-05-04,drawdown_recovery_k1,"[""MAGICUSDT""]","[""HOOKUSDT""]",-0.0023778165705293786,4,-0.0033444541426323445,0.9466240577383588,0.9434581169869404,-0.0033500593304067023
362,2023-05-03,2023-05-04,2023-05-07,drawdown_recovery_k1,"[""MAGICUSDT""]","[""TUSDT""]",-0.12072269235817434,5,-0.03293067308954359,0.9434581169869404,0.9123894061627671,-0.03348509332671654
363,2023-05-06,2023-05-07,2023-05-10,drawdown_recovery_k1,"[""MAGICUSDT""]","[""RNDRUSDT""]",-0.012018968216362058,6,-0.005754742054090514,0.9123894061627671,0.9071388404774156,-0.0057713643843034955
364,2023-05-09,2023-05-10,2023-05-13,drawdown_recovery_k1,"[""MAGICUSDT""]","[""TUSDT""]",0.10260310767839886,8,0.022900776919599714,0.9071388404774156,0.9279130246982932,0.022642490006980324
365,2023-05-12,2023-05-13,2023-05-16,drawdown_recovery_k1,"[""MAGICUSDT""]","[""RNDRUSDT""]",0.0013478185725842584,8,-0.0024130453568539352,0.9279130246982932,0.9256739284824806,-0.0024159614428440964
366,2023-05-15,2023-05-16,2023-05-19,drawdown_recovery_k1,"[""MAGICUSDT""]","[""RNDRUSDT""]",-0.27991392032182016,9,-0.07272848008045504,0.9256739284824806,0.858351070613846,-0.0755088545565424
367,2023-05-18,2023-05-19,2023-05-22,drawdown_recovery_k1,"[""FETUSDT""]","[""RNDRUSDT""]",-0.04495843821052614,12,-0.013989609552631538,0.858351070613846,0.846343074276875,-0.014088386455950199
