candidate,leverage,validation_terminal,validation_mdd,validation_trades,selection_score,eligible
drawdown_recovery_k1,0.25,1.313951496190439,0.2027128945146497,115,-0.031030335487939265,True
listing_rev_k5,0.25,1.0011056318510574,0.06936698886748793,25,-0.10294546221092664,True
accel_rev_k1,0.25,1.0017486129289277,0.24203324768298118,115,-0.36130278563925194,True
volume_exhaustion_k5,0.25,0.9539797825917682,0.08106373467830752,25,-0.16870840202768606,False
rev30_k5,0.25,0.9584037387768853,0.09909764211119387,25,-0.19113261373432816,False
accel_rev_k5,0.25,0.9466723640190716,0.10083845445510464,25,-0.20605989986575682,False
mom7_k5,0.25,0.9325459977124146,0.10368667442458279,25,-0.2253668130120537,False
drawdown_recovery_k5,0.25,0.9446919164036597,0.11826285498007227,24,-0.23429070150040793,False
mom14_k5,0.25,0.9189795412547174,0.1045618923554924,25,-0.24133425737188877,False
rev7_k5,0.25,0.9314721375985526,0.11572226653073803,25,-0.244572400511326,False
accel_k5,0.25,0.9175420412151019,0.10577872840243585,25,-0.24472497121898837,False
mom30_k5,0.25,0.9053235741309821,0.14605140530693683,25,-0.3185399666687576,False
accel_rev_k3,0.25,0.9396675051057741,0.18081750541081243,93,-0.3334554423798448,False
rev30_k3,0.25,0.8602341577629535,0.18210715508349817,93,-0.42371138295179095,False
risk_adj_mom30_k5,0.25,0.8319163228504083,0.17986685786778056,25,-0.453823703517558,False
mom60_k5,0.25,0.8232389441063355,0.2046833949276622,25,-0.5015338797775309,False
listing_rev_k1,0.25,0.9472198383309562,0.3418386676449898,116,-0.5669820723553426,False
rev30_k1,0.25,0.8809962772219193,0.29889223815942134,115,-0.575040235921805,False
risk_adj_mom30_k1,0.25,0.8893291214857414,0.3335476863477188,116,-0.6176094261080859,False
drawdown_recovery_k3,0.25,0.7633395968502608,0.27075002322686226,93,-0.6761773004952286,False
volume_exhaustion_k3,0.25,0.7385988747344077,0.322048316578898,93,-0.7860727749446796,False
risk_adj_mom30_k3,0.25,0.6957922034202454,0.3352890703420651,93,-0.8656378270424636,False
mom30_k3,0.25,0.6804530266789951,0.3526364219234239,93,-0.9139511198158825,False
accel_k3,0.25,0.6255393647257853,0.3866686984142299,93,-1.049144065462043,False
mom14_k1,0.25,0.6554852762057851,0.5348176118658838,115,-1.2246058557581079,False
volume_exhaustion_k1,0.25,0.5126770469348881,0.5314132424495605,116,-1.4652290338666667,False
listing_rev_k3,0.25,1.0109613054824107,0.9999999999990025,92,-1.489098334201609,False
mom30_k1,0.25,0.5274257299601044,0.5894248032122152,115,-1.523884424647128,False
rev7_k1,0.25,0.9020073422001912,0.9999999999990707,115,-1.6031326190397281,False
accel_k1,0.25,0.4665887450410539,0.609019146709234,115,-1.6758357609646377,False
rev7_k3,0.25,0.8278239828182096,0.999999999999,92,-1.6889547283313782,False
mom7_k3,0.25,0.714665481825317,0.9999999999990051,92,-1.8359407033531157,False
mom60_k1,0.25,0.3899459296975986,0.6351737246449269,115,-1.8945077782385273,False
mom14_k3,0.25,0.6681607339620181,0.9999999999990031,92,-1.903226514684654,False
mom60_k3,0.25,0.5942227317537815,0.999999999999,91,-2.0205010606189444,False
mom7_k1,0.25,0.5229167394076917,0.9999999999990118,115,-2.148333025662337,False
