date,close,stress
2023-01-01,1.0034644993135517,0.9945242882591917
2023-01-02,1.0068886524748084,0.9930533110829403
2023-01-03,1.0051755554269746,0.9966073349148822
2023-01-04,0.9753017034046608,0.9505437471036393
2023-01-05,0.9840982148815057,0.9661572524456069
2023-01-06,0.9491847998723002,0.9249530513595845
2023-01-07,0.9595621469351395,0.9435776033652229
2023-01-08,0.8897567422783703,0.7583577753286278
2023-01-09,0.9036066431765497,0.8719691579236367
2023-01-10,0.9035259463088273,0.8639264375109863
2023-01-11,0.9115359343722989,0.8878878978064565
2023-01-12,0.8986563544271767,0.8684811906907878
2023-01-13,0.907107577478714,0.876415596445179
2023-01-14,0.9138881698529662,0.8722920171447941
2023-01-15,0.9323579246878838,0.8677651601455697
2023-01-16,0.9351444689156666,0.9156581880700155
2023-01-17,0.9356353499574359,0.9280491840661688
2023-01-18,0.9383928229375054,0.9125506166773776
2023-01-19,0.9453859167166218,0.9135780726514553
2023-01-20,0.9423969639013573,0.9148264590054241
2023-01-21,0.9699590985446627,0.9149805338208907
2023-01-22,0.9492140713119899,0.9091129327751833
2023-01-23,0.9646246728898717,0.919218984393082
2023-01-24,0.9575294669983937,0.9282492286649824
2023-01-25,0.9643301274365893,0.8124155345058942
2023-01-26,0.9712800406460843,0.9495657853999004
2023-01-27,0.9619732575159501,0.9498084336444232
2023-01-28,0.9369284358992469,0.9282120812242998
2023-01-29,0.9302872918034847,0.9108655420636688
2023-01-30,0.915330156596551,0.8849177852734796
2023-01-31,0.9005371870500866,0.875920611446986
2023-02-01,0.854543637300376,0.8102340091436177
2023-02-02,0.8683074541061189,0.8359090795490784
2023-02-03,0.8726585302902459,0.8267831384530784
2023-02-04,0.8676384223767161,0.8563341801842691
2023-02-05,0.8618600861883752,0.8296994525991191
2023-02-06,0.8769405788767667,0.8432136859993961
2023-02-07,0.9045822904371262,0.8632553602949126
2023-02-08,0.9057578171471833,0.870923500272824
2023-02-09,0.9143603626832968,0.8664731144710107
2023-02-10,0.9353935056914985,0.8974200240960495
2023-02-11,0.9334650103906715,0.92283215809949
2023-02-12,0.9251316655314067,0.8914008216941629
2023-02-13,0.9294175682595318,0.8921403847288952
2023-02-14,0.9365182882804705,0.9130993909882561
2023-02-15,0.9275484023785779,0.8977516468108688
2023-02-16,0.9310672468421035,0.8911539618589072
2023-02-17,0.8920586945667462,0.8708923486923955
2023-02-18,0.8689280243193632,0.8550254711423205
2023-02-19,0.8862081797943281,0.8564268807357478
2023-02-20,0.8892798435627545,0.8692060661160264
2023-02-21,0.8837093703364969,0.8619628052833948
2023-02-22,0.8958034341735227,0.8723132584393269
2023-02-23,0.888490439339942,0.8799797763846564
2023-02-24,0.8869409724421664,0.8678800264124598
2023-02-25,0.8806293849357129,0.8631923327690302
2023-02-26,0.8831305022400856,0.8729954497018989
2023-02-27,0.8660219933819985,0.8590363300004562
2023-02-28,0.8760680291559481,0.8551237391961202
2023-03-01,0.9019418449406457,0.8632841944956369
2023-03-02,0.900585189611149,0.8818965612204379
2023-03-03,0.8907673716352403,0.8724124257820025
2023-03-04,0.8820537752538519,0.8680036900671626
2023-03-05,0.877256742660971,0.8702011364777605
2023-03-06,0.8749784760592827,0.867196025518329
2023-03-07,0.8727204902141127,0.8591368991148932
2023-03-08,0.8763415731646423,0.8516612616619547
2023-03-09,0.9002330079131082,0.8721064989334966
2023-03-10,0.8986531572160176,0.8721029227082173
2023-03-11,0.8939238100290247,0.8709403330171843
2023-03-12,0.9093797403154167,0.8695521226783225
2023-03-13,0.915856708975715,0.8912556448589652
2023-03-14,0.9322555321271131,0.8926283048716798
2023-03-15,0.9209941220974694,0.8981285112179156
2023-03-16,0.9183355049720583,0.9036480970246052
2023-03-17,0.9173100167825703,0.8958014498183905
2023-03-18,0.9172983797164995,0.902062583231296
2023-03-19,0.9111156933306878,0.9038295842560261
2023-03-20,0.8998004770714879,0.8852565776637004
2023-03-21,0.9044113084410538,0.8859419987157212
2023-03-22,0.9096276224642492,0.8847917805897301
2023-03-23,0.9089498962801272,0.8926360660506517
2023-03-24,0.9214183118304767,0.8966655473935732
2023-03-25,0.9283383485614497,0.9138408034643604
2023-03-26,0.929646317732151,0.9185605128638162
