date,equity_close,equity_stress
2023-01-01,1.0324792979415136,0.996807538849223
2023-01-02,1.060149096688396,1.018628814456678
2023-01-03,1.0576192247034182,1.0502658278153119
2023-01-04,1.0890178216823152,1.0375930180846933
2023-01-05,1.0816693865338445,1.0719505500888244
2023-01-06,1.1168147545555516,1.0578385835992434
2023-01-07,1.0996275346486093,1.0877532710026785
2023-01-08,1.1812123767270217,1.0877624060551139
2023-01-09,1.16435676685074,1.1354617110020333
2023-01-10,1.1555587268378151,1.1462995720608156
2023-01-11,1.1481863026881889,1.1269387014709817
2023-01-12,1.1557994102145734,1.0929369789878276
2023-01-13,1.1394301443514627,1.1081118445753027
2023-01-14,1.1301328111548907,1.096459872818841
2023-01-15,1.105802752542904,1.0776172941764601
2023-01-16,1.0931822872701036,1.0225069968570433
2023-01-17,1.0847371925879654,1.0698748023494788
2023-01-18,1.1010869550883122,1.0536245965732742
2023-01-19,1.0879443299058438,1.0660366698890298
2023-01-20,1.1208534517951634,1.0619831724620956
2023-01-21,1.1098775450834637,1.053924917838547
2023-01-22,1.1105419645776753,1.0032938426282612
2023-01-23,1.0866175195011711,1.0735228907747316
2023-01-24,1.1036032492725063,1.0608834705170196
2023-01-25,1.1800864482656044,1.0031095941345374
2023-01-26,1.2283840228801852,1.1985131051991589
2023-01-27,1.2177585904479586,1.2012125928546584
2023-01-28,1.2146320738111092,1.1757346438571372
2023-01-29,1.21864050938283,1.2004348033545882
2023-01-30,1.219257809298869,1.1768847446068742
2023-01-31,1.1953965860652807,1.1751226653177562
2023-02-01,1.221853006187064,1.1719726286537666
2023-02-02,1.2075249473297769,1.189721058367645
2023-02-03,1.1426139598109766,1.1172769868403218
2023-02-04,1.1513096513118195,1.1160887782231148
2023-02-05,1.1515290711868795,1.1112607540004802
2023-02-06,1.1392101145332478,1.1147826409925925
2023-02-07,1.1526366589069161,1.129822307794399
2023-02-08,1.1426704227551523,1.1251857703267103
2023-02-09,1.1389891049956424,1.0901615075467814
2023-02-10,1.1371436381128397,1.1138902975381708
2023-02-11,1.1371704907352866,1.1176587550598958
2023-02-12,1.1268155751712987,1.1135748873593263
2023-02-13,1.1194885133717027,1.0922394134985216
2023-02-14,1.1385106849624596,1.106782773269217
2023-02-15,1.1409619564768334,1.1041411480410905
2023-02-16,1.1394824880052328,1.1017168628307183
2023-02-17,1.1287734912820226,1.1100492272846343
2023-02-18,1.1405076852818266,1.1086792841940596
2023-02-19,1.1237025646919676,1.1081575772128887
2023-02-20,1.1168802010234156,1.0982497973905634
2023-02-21,1.1157080915606155,1.0918605440171902
2023-02-22,1.1220099471637426,1.094517091027447
2023-02-23,1.113234076781704,1.1019591993289475
2023-02-24,1.105131663242608,1.0658363701502909
2023-02-25,1.1033496284626747,1.083415476710246
2023-02-26,1.1042327069218774,1.096522066191239
2023-02-27,1.1031361541478328,1.0796479631034936
2023-02-28,1.1075272314790017,1.0937320945305173
2023-03-01,1.0746230380991972,1.0671379455785572
2023-03-02,1.084045501062462,1.0516527940884135
2023-03-03,1.0882679121057006,1.0568947414964736
2023-03-04,1.0737183637031142,1.045646440521145
2023-03-05,1.081135160704295,1.0604320321266658
2023-03-06,1.0741611599266365,1.0581465610041763
2023-03-07,1.0738482303927332,1.0474657672561354
2023-03-08,1.0680551785938346,1.0442224842770098
2023-03-09,1.07820377803361,1.04311718769308
2023-03-10,1.079546471405279,1.0539950356887338
2023-03-11,1.0652186848936103,1.0325108111013646
2023-03-12,1.0666299427237689,1.012555092342333
2023-03-13,1.0813999484471322,1.0386852107857591
2023-03-14,1.059526785039123,1.0130976698833547
2023-03-15,1.0427388695235502,0.9935961101315675
2023-03-16,1.0492486975435809,1.031327329636694
2023-03-17,1.04024346777013,1.0118622276630387
2023-03-18,1.0466474964535284,1.0113555562979888
2023-03-19,1.0407272549618802,1.027518927775523
2023-03-20,1.0489150566693097,1.0156928069298607
2023-03-21,1.0431282547114151,1.0162083904285995
2023-03-22,1.036649808641201,1.0205729325083575
2023-03-23,1.0327562360581224,1.0106784267435884
2023-03-24,1.0180300447626218,1.006214461180272
2023-03-25,1.0096265188650986,1.001326320238331
2023-03-26,1.0127626743245093,0.9961857044212553
2023-03-27,1.010680704179827,0.9857039581343364
2023-03-28,1.0130709751034883,1.00339416243488
2023-03-29,1.0135330491780628,0.9977643165007075
2023-03-30,1.0209399556589565,1.0006173865388748
2023-03-31,1.0153000889433739,1.0093208734213297
2023-04-01,1.0157601227189796,1.0063893280067546
2023-04-02,0.9999096073300346,0.9847750341713215
2023-04-03,1.0101639474408886,0.9871024393593236
2023-04-04,1.0071020774454391,0.998000503829923
2023-04-05,1.0149851560979488,0.9998080386291385
2023-04-06,1.0143758749530525,1.0065581349136716
2023-04-07,1.0066540982144105,1.0025940248133665
2023-04-08,1.0042351736118071,0.9922467581391131
2023-04-09,1.0023608109352211,0.99638409235654
2023-04-10,1.0021090752609252,0.9889106416008856
2023-04-11,1.008689004215378,0.9961094393499138
2023-04-12,1.0057487929959772,0.9912191819240294
2023-04-13,1.0214002018171742,0.9754403895401426
2023-04-14,0.972527580931782,0.9337633436626172
2023-04-15,0.9705805719710094,0.9621754003099313
2023-04-16,0.9683173044872795,0.960747993720277
2023-04-17,0.9691319519917619,0.9579617909559933
2023-04-18,0.9727167515160048,0.9560887383461634
2023-04-19,0.9557196889134526,0.9342227860742808
2023-04-20,0.9523219672278844,0.9365135279770619
2023-04-21,0.9392086002801134,0.9252523326718091
2023-04-22,0.9382164307500889,0.9201668332383881
2023-04-23,0.9331690560752793,0.9158316261084569
2023-04-24,0.9390497836081193,0.921190802396639
2023-04-25,0.9343634996742782,0.9153957066538255
2023-04-26,0.9359741951640287,0.9031334058373207
2023-04-27,0.9323541409489091,0.9229244205815327
2023-04-28,0.9314582755338251,0.9100881371158229
2023-04-29,0.9234529641582865,0.9161822101177604
2023-04-30,0.9141577134115242,0.9062179984619475
2023-05-01,0.9100002817611474,0.8972159184033168
2023-05-02,0.9142580325380529,0.902014465369663
2023-05-03,0.9123766093399089,0.8940294960146542
2023-05-04,0.903044934036006,0.895855054305588
2023-05-05,0.8970696248978813,0.8898836398414376
2023-05-06,0.8767105058379874,0.855275466579284
2023-05-07,0.8809517911361225,0.8650018321149134
2023-05-08,0.8900241203865865,0.8428903990629544
2023-05-09,0.8769818229512464,0.8667889387400507
2023-05-10,0.8726897924014856,0.8462548786403437
2023-05-11,0.8770658348008434,0.846422942263349
2023-05-12,0.8764592947364893,0.8550095779178484
2023-05-13,0.8850430213576684,0.8690217706076337
2023-05-14,0.8796322702164248,0.8695473603807908
2023-05-15,0.8737942166261001,0.8661470804676021
2023-05-16,0.8830738535992846,0.8617770052302448
2023-05-17,0.9149386716902376,0.8635761534937492
2023-05-18,0.9324137884123513,0.9081320599554534
2023-05-19,0.9060685684435709,0.8869035864991641
2023-05-20,0.9149382598847001,0.8993344716523961
2023-05-21,0.9404202289415977,0.9118087829157273
2023-05-22,0.9408997553095451,0.9236871773808822
2023-05-23,0.9604811336945526,0.9265347195595652
2023-05-24,0.9652880953293976,0.9297663432369618
2023-05-25,0.9665916074918627,0.9373908169715408
2023-05-26,0.9573527064380427,0.9452470226925336
2023-05-27,0.9388503086381386,0.9251237657469714
2023-05-28,0.9319889373718044,0.915217149218871
2023-05-29,0.919643221680547,0.9017589499913664
2023-05-30,0.9234058659024957,0.9064552650096597
2023-05-31,0.9286433433292943,0.9050987970613605
2023-06-01,0.9177112614186326,0.9019101770991798
2023-06-02,0.9155295265314657,0.9015091798626066
2023-06-03,0.9245603524437837,0.9070345294054764
2023-06-04,0.9208257165540036,0.9095929953844786
2023-06-05,0.912895060406964,0.8819660196770345
2023-06-06,0.8858546789031126,0.8574641031137501
2023-06-07,0.890151869198197,0.8363975804537851
2023-06-08,0.8988171602141677,0.8769160137435632
2023-06-09,0.9007771530024424,0.8836312793443176
2023-06-10,0.8999923510402775,0.8521784996923939
2023-06-11,0.906015584375374,0.8933197477804967
2023-06-12,0.9052175351909088,0.8869436341951888
2023-06-13,0.894876930296936,0.8883254113439988
2023-06-14,0.8890424395350142,0.8757034586237256
2023-06-15,0.8926274771802791,0.8707266962085628
2023-06-16,0.8884608059988858,0.8690265580241638
2023-06-17,0.907221617938421,0.8752243957539564
2023-06-18,0.9063457225043124,0.8889402433974469
2023-06-19,0.9099593696979259,0.9071642385408278
2023-06-20,0.86682305834452,0.8652444819253673
2023-06-21,0.8616957957993269,0.8215159559932693
2023-06-22,0.8658813547547047,0.8348141741095081
2023-06-23,0.8530518310535687,0.8382663520844913
2023-06-24,0.8442389573913144,0.8242111753741318
2023-06-25,0.8398045799270811,0.8269886471815988
2023-06-26,0.8494129626014565,0.8273449825741966
2023-06-27,0.8402277324443462,0.8278760765211802
2023-06-28,0.8485120767283696,0.8217568493977178
2023-06-29,0.8465832971527425,0.8394273125026195
2023-06-30,0.8434457440809666,0.8157646000223375
2023-07-01,0.8382808426717687,0.8250278498432037
2023-07-02,0.8424882361241355,0.8287508568566474
2023-07-03,0.8416212401970495,0.8256970250784469
2023-07-04,0.8248002127223646,0.8169440986643507
2023-07-05,0.8317009393864082,0.8083498301015372
2023-07-06,0.8379093132122982,0.8163445612735621
2023-07-07,0.8445486966630971,0.8340363328732581
2023-07-08,0.8400536863583188,0.828694321479746
2023-07-09,0.8371440998659304,0.8235465441291326
2023-07-10,0.8413407426692239,0.8287969815564513
2023-07-11,0.8421630241606383,0.8261239926685986
2023-07-12,0.8325729737418799,0.8258483999692109
2023-07-13,0.8224515093705939,0.8039055546622013
2023-07-14,0.8242816170219682,0.8058256317638982
2023-07-15,0.8195702420082782,0.7964885370267136
2023-07-16,0.8090568097281898,0.7960516181153016
2023-07-17,0.8063012274511494,0.79274378864326
2023-07-18,0.8033485490714554,0.7887822066886505
2023-07-19,0.802598439673947,0.7922771994514398
2023-07-20,0.7958394397842009,0.7843028597920819
2023-07-21,0.7934203392374503,0.7884023445597237
2023-07-22,0.7897482270504991,0.7830493674447213
2023-07-23,0.7896938965490093,0.7839868734164711
2023-07-24,0.7914321996131004,0.7618275207000439
2023-07-25,0.7816732137173457,0.7768307457837462
2023-07-26,0.7845281793697024,0.7718178316164576
2023-07-27,0.782832959034044,0.7751630609551782
2023-07-28,0.7842988582303695,0.771301010470895
2023-07-29,0.7826308903443371,0.7790230331224662
2023-07-30,0.7821120393251094,0.7724679569236352
2023-07-31,0.76975836549367,0.7623200269543207
2023-08-01,0.7753214268781288,0.7588518435802498
2023-08-02,0.7744808671241585,0.7584331248764228
2023-08-03,0.7638938502355651,0.7593281043891059
2023-08-04,0.7701498558446608,0.7613592626832144
2023-08-05,0.761765982377665,0.7555694676158108
2023-08-06,0.765167716784788,0.755611485207173
2023-08-07,0.7837425245055943,0.7574782728696746
2023-08-08,0.7829517740174501,0.7539107664427961
2023-08-09,0.7557179160157721,0.7434436684746887
2023-08-10,0.763110550087355,0.7453510649728117
2023-08-11,0.7707828834149618,0.7545222942126365
2023-08-12,0.7570409337891851,0.7495411882778852
2023-08-13,0.7596335173306846,0.7431871752565549
2023-08-14,0.7633655128855001,0.7433985339923782
2023-08-15,0.7758575190298013,0.7451429396998509
2023-08-16,0.7690335762439325,0.7581116353361346
2023-08-17,0.772945665360967,0.7339620145668921
2023-08-18,0.7713958568308318,0.7598432014923397
2023-08-19,0.7660505335735196,0.7587841137006719
2023-08-20,0.7649895119943354,0.7585848642733082
2023-08-21,0.772459662053191,0.7636848310190393
2023-08-22,0.7764501322055591,0.771256376223783
2023-08-23,0.7781527752114784,0.7677828625857472
2023-08-24,0.7817435186663408,0.7650016568463449
2023-08-25,0.7653308009734938,0.7600954853092124
