leverage,terminal_factor,mdd_stress,trade_count,min_year_factor,admissible
0.25,0.7309104434618219,0.6924544559603674,320,0.5251748063036581,False
0.3,0.642785223402215,0.776072804912619,320,0.45409520855390567,False
0.35,0.5532899411204272,0.8430646015365406,320,0.390370159226555,False
0.4,0.46616289243744796,0.8952557447637934,320,0.33359910015648164,False
0.45,0.3844102850115255,0.9346795295531143,320,0.2833414710468164,False
0.5,0.3102120768112488,0.9635213356959295,320,0.23913071187294224,False
0.55,0.24491735041554571,0.9835984619827365,320,0.2004865408163174,False
0.6,0.18911266412452102,0.9968176184133549,320,0.16692552457788012,False
0.65,0.14274176528296437,0.9999999999997486,320,0.1379699925244544,False
0.7,0.10525377329080783,0.9999999999997683,320,0.11315537444955705,False
0.75,0.07575880583764907,0.9999999999997857,320,0.09203606398631077,False
0.8,0.05317407265232224,0.9999999999998013,320,0.07418992622860997,False
0.85,0.03634863733082625,0.999999999999815,320,0.059221579333302396,False
0.9,0.024160380284437902,0.9999999999998274,320,0.046764586302852865,False
0.95,0.0155834339762146,0.9999999999998385,320,0.03648269534765238,False
1.0,0.009728034114525361,0.9999999999998482,320,0.02807026579070262,False
1.05,0.005857144431938471,0.9999999999998571,320,0.021252012003413832,False
1.1,0.003385407473509657,0.999999999999865,320,0.015782190938102,False
1.15,0.0018661500518223442,0.9999999999998721,320,0.011443350013951888,False
1.2,0.0009716145796879319,0.9999999999998784,320,0.008044741945247038,False
1.25,0.00047059749456852725,0.9999999999998841,320,0.0054205020540491556,False
1.3,0.00020652060580273488,0.9999999999998893,320,0.00342767211224988,False
1.35,7.784432926182167e-05,0.9999999999998939,320,0.0019441431816343152,False
1.4,2.1784123457830547e-05,0.999999999999898,320,0.0008665785788438547,False
1.45,1.5754185822036513e-06,0.9999999999999016,320,0.00010836724069025997,False
1.5,1e-12,0.9999999999999049,217,1.366758391124519e-10,False
1.55,1e-12,0.9999999999999077,217,3.757340316814248e-10,False
1.6,1e-12,0.9999999999999103,131,1.8576509242571178e-13,False
1.65,1e-12,0.9999999999999125,131,1.822702766725369e-13,False
1.7,1e-12,0.9999999999999144,131,1.791888750683339e-13,False
1.75,1e-12,0.9999999999999161,131,1.765024592586814e-13,False
1.8,1e-12,0.9999999999999174,131,1.741953651792933e-13,False
1.85,1e-12,0.9999999999999185,131,1.7225452859825446e-13,False
1.9,1e-12,0.9999999999999194,131,1.7066935250587285e-13,False
1.95,1e-12,0.99999999999992,131,1.6943160432830208e-13,False
2.0,1e-12,0.9999999999999203,131,1.6853534148801392e-13,False
