leverage,terminal_factor,mdd_stress,trade_count,min_year_factor,admissible
0.25,1.5589375318903094,0.5334727437523229,142,0.8618574123924315,False
0.3,1.647228528691796,0.6171529261616622,142,0.833987798266379,False
0.35,1.7221976115028832,0.6939298964237183,142,0.8061450511711395,False
0.4,1.7819842241960588,0.7641251173807306,142,0.778373255933793,False
0.45,1.8251147057988726,0.8280553840350865,142,0.7507153994195027,False
0.5,1.8505577558709179,0.886032435250115,142,0.7232132876322201,False
0.55,1.8577614275819847,0.9383625903385457,142,0.6959074673111577,False
0.6,1.8466699908585744,0.9853464100822682,142,0.6688371521584688,False
0.65,1.817720104989791,0.9999999999997776,142,0.6420401538194274,False
0.7,1.7718168498094014,0.9999999999997901,142,0.6155528177220848,False
0.75,1.71029121674397,0.9999999999998002,142,0.5894099638690721,False
0.8,1.6348415911855474,0.9999999999998084,142,0.5636448326598158,False
0.85,1.5474625115633849,0.9999999999998149,142,0.5382890358070999,False
0.9,1.45036452759073,0.999999999999827,142,0.5133725123975612,False
0.95,1.3458892759093495,0.9999999999998391,142,0.4889234901314996,False
1.0,1.2364239382776083,0.9999999999998501,142,0.46496845176320867,False
1.05,1.1243190548926278,0.9999999999998601,142,0.44153210674906146,False
1.1,1.0118132580732755,0.999999999999869,142,0.41863736809676183,False
1.15,0.9009679068152115,0.9999999999998771,142,0.3963053343955421,False
1.2,0.7936138875625005,0.9999999999998844,142,0.3745552769936949,False
1.25,0.6913120534270332,0.9999999999998911,142,0.3534046322767129,False
1.3,0.5953279571172463,0.9999999999998972,142,0.33286899898645367,False
1.35,0.5066207438161214,0.9999999999999026,142,0.312110163503441,False
1.4,0.4258453552507247,0.9999999999999076,142,0.26803631427334856,False
1.45,0.3533665927932718,0.9999999999999122,142,0.2279694602181979,False
1.5,0.2892831227499314,0.9999999999999164,142,0.19191515364636128,False
1.55,0.23345919667533926,0.9999999999999202,142,0.15980621207666998,False
1.6,0.1855617076699473,0.9999999999999236,142,0.13151293611862513,False
1.65,0.1451002034275139,0.9999999999999267,142,0.106853752077349,False
1.7,0.11146761222413232,0.9999999999999296,142,0.08560592111869195,False
1.75,0.0839796857066318,0.9999999999999322,142,0.06751599517483443,False
1.8,0.0619114939616809,0.9999999999999345,142,0.05230974470290168,False
1.85,0.044529693236169454,0.9999999999999366,142,0.03970133259722633,False
1.9,0.03111969416586568,0.9999999999999386,142,0.029401559762746863,False
1.95,0.02100725997570226,0.9999999999999403,142,0.021125059015456787,False
2.0,0.013574435322645084,0.9999999999999418,142,0.014596363250203248,False
