trade_index,decision_date,entry_date,exit_date,long_symbol,short_symbol,long_signal,short_signal,dispersion,dispersion_gate,eligible_count,median_quote_volume_long,median_quote_volume_short,long_entry,long_exit,short_entry,short_exit,gross_unit_return,leverage,net_return,equity_before,equity_after,log_contribution
66,2020-11-11,2020-11-12,2020-11-15,WAVESUSDT,KAVAUSDT,0.5166138597773986,-0.3792812552724819,0.19560256959715208,True,14,21511935.34717,10799835.1075,3.7324,4.2897,1.4696,1.4565,0.15822810444426172,0.25,0.03680702611106543,1.1028088960699258,1.1434000119030867,0.03614582332040486
67,2020-11-14,2020-11-15,2020-11-18,WAVESUSDT,KAVAUSDT,0.5948426411028129,-0.35996306718255366,0.20633671828866337,True,15,22662695.496299997,10799835.1075,4.2897,4.9139,1.4565,1.8814,-0.14621540107075637,0.25,-0.039303850267689094,1.1434000119030867,1.0984599890391737,-0.040097101347650384
68,2020-11-17,2020-11-18,2020-11-21,WAVESUSDT,SXPUSDT,0.6106797706797704,-0.13872312597073488,0.19336755945624623,True,15,22662695.496299997,32273366.448655,4.9139,6.7776,1.0536,0.9819,0.44732343923640727,0.25,0.10908085980910182,1.0984599890391737,1.2182809491094633,0.10353161807193172
69,2020-11-20,2020-11-21,2020-11-24,WAVESUSDT,SXPUSDT,1.1783912330880226,-0.15111149554536796,0.3033109381884271,True,16,23278543.979604997,33258357.93298,6.7776,7.905,0.9819,1.1397,0.005633238168931465,0.25,-0.0013416904577671339,1.2182809491094633,1.2166463931851637,-0.001342591330294214
70,2020-11-23,2020-11-24,2020-11-27,WAVESUSDT,THETAUSDT,1.3022714036109493,-0.07450653322212963,0.30585473715290773,True,16,24362716.74039,14242239.70299,7.905,6.062,0.6661,0.6188,-0.16213322120766593,0.25,-0.043283305301916486,1.2166463931851637,1.1639859159044548,-0.04424796615437415
71,2020-11-26,2020-11-27,2020-11-30,WAVESUSDT,MKRUSDT,0.9172808654667381,-0.09642085775995068,0.2399197632835907,True,15,28941940.9603,13740604.420135,6.062,7.0462,527.38,546.11,0.12684046990933528,0.25,0.02896011747733382,1.1639859159044548,1.1976950847710097,0.02854869757535267
72,2020-11-29,2020-11-30,2020-12-03,YFIUSDT,MKRUSDT,1.2344776214311022,0.05227044946418946,0.33964725909688454,True,16,321641591.83685005,13436367.084285,24601.2,30359.4,546.11,560.38,0.2079314862891486,0.25,0.049232871572287146,1.1976950847710097,1.2566610530623004,0.048059298649699565
73,2020-12-02,2020-12-03,2020-12-06,YFIUSDT,MKRUSDT,2.004653649649491,0.07201453293813942,0.4690453914998993,True,20,332230449.49665,13436367.084285,30359.4,29351.0,560.38,533.36,0.015001868441345878,0.25,0.0010004671103364695,1.2566610530623004,1.2579183011147301,0.0009999669766674849
74,2020-12-05,2020-12-06,2020-12-09,SUSHIUSDT,MKRUSDT,3.472604065827686,0.004521647386864558,0.7905584454631039,True,24,119486994.86835,14012752.243585,2.3101,2.1198,533.36,502.93,-0.02532398893020149,0.25,-0.009080997232550373,1.2579183011147301,1.2464951485035327,-0.009122480820461083
75,2020-12-08,2020-12-09,2020-12-12,SUSHIUSDT,SXPUSDT,2.3018221460831643,-0.1323170731707317,0.5216634982546691,True,24,133756576.5544,43095715.60250001,2.1198,1.9339,0.8539,0.804,-0.029259196365154505,0.25,-0.010064799091288629,1.2464951485035327,1.2339494252655787,-0.010115791623247786
