decision_date,entry_date,exit_date,long_symbol,short_symbol,long_signal,short_signal,dispersion,dispersion_gate,eligible_count,median_quote_volume_long,median_quote_volume_short,long_entry,long_exit,short_entry,short_exit,gross_unit_return
2020-03-31,2020-04-01,2020-04-04,BTCUSDT,ETHUSDT,-0.24956429260796642,-0.3917251502224668,0.05880508939737369,False,3,2076502472.95289,252528347.01959,6407.1,6729.8,132.6,141.2,-0.01449071169702787
2020-04-03,2020-04-04,2020-04-07,BTCUSDT,ETHUSDT,-0.23148866098050347,-0.3708290640174634,0.05990744103711487,False,3,2325552706.414625,239500524.341595,6729.8,7325.73,141.2,171.15,-0.1235595588249534
2020-04-06,2020-04-07,2020-04-10,XRPUSDT,ETHUSDT,-0.16285956006768187,-0.27888261565686356,0.04521866764070081,False,4,27841448.6788,237657420.65044498,0.198,0.1981,171.15,169.48,0.010262573146008647
2020-04-09,2020-04-10,2020-04-13,BCHUSDT,ETHUSDT,-0.058927324192184605,-0.15670564817118682,0.03365454989424562,False,6,98235084.2349,230976011.13815,256.0,232.78,169.48,158.69,-0.02703779575761156
2020-04-12,2020-04-13,2020-04-16,BCHUSDT,LTCUSDT,0.3127008286825641,0.11827384123601492,0.059758955532059246,False,6,96542350.019095,28773723.320304997,232.78,215.04,41.98,39.2,-0.009987285850118655
2020-04-15,2020-04-16,2020-04-19,ETHUSDT,ETCUSDT,0.37439222042139364,0.1326666666666667,0.07024432219388321,False,8,217493837.62391502,21399186.45359,152.64,187.52,5.1,5.657,0.119295844123813
2020-04-18,2020-04-19,2020-04-22,LINKUSDT,BCHUSDT,0.6876394466755913,0.10362459839811744,0.17627264425214106,False,9,45801937.745945,93439365.64997,3.782,3.457,243.89,219.54,0.013906723256635334
2020-04-21,2020-04-22,2020-04-25,LINKUSDT,BCHUSDT,0.7450782433114587,0.08229783037475347,0.18575688252199163,False,10,65527271.376865,85291171.4604,3.457,3.78,219.54,238.12,0.00880211072727377
2020-04-24,2020-04-25,2020-04-28,LINKUSDT,BCHUSDT,0.6770186335403725,0.07817383033651892,0.18742438454276325,False,10,106849208.01129499,72507212.69246,3.78,3.637,238.12,242.98,-0.05824056520344101
2020-04-27,2020-04-28,2020-05-01,LINKUSDT,XRPUSDT,0.7062412013139374,0.12606959498003412,0.20692103144813306,False,10,106849208.01129499,21259308.735445,3.637,3.708,0.1973,0.2116,-0.05295687547634054
2020-04-30,2020-05-01,2020-05-04,XLMUSDT,BCHUSDT,0.6583927254853774,0.14620632812857726,0.17861148447354627,False,11,8035327.296505,88864850.52110499,0.06754,0.07293,250.25,251.7,0.07401035446638038
2020-05-03,2020-05-04,2020-05-07,XLMUSDT,BCHUSDT,0.7653753026634382,0.06562513230873446,0.196290787436058,False,12,8889509.342969999,86977326.30061,0.07293,0.06948,251.7,241.33,-0.006105794460278147
2020-05-06,2020-05-07,2020-05-10,LINKUSDT,BCHUSDT,0.40980392156862755,-0.06489835430784119,0.1614339656325986,False,15,117243296.96611,83739952.46391499,3.595,4.022,241.33,265.69,0.01783545715914725
2020-05-09,2020-05-10,2020-05-13,ADAUSDT,DASHUSDT,0.4267515923566878,-0.037863258169540615,0.13740709112715552,False,16,15356807.329465,11024772.76796,0.05156,0.05043,79.75,73.29,0.0590869206767658
