decision_date,entry_date,exit_date,long_symbol,short_symbol,long_signal,short_signal,dispersion,dispersion_gate,eligible_count,median_quote_volume_long,median_quote_volume_short,long_entry,long_exit,short_entry,short_exit,gross_unit_return
2022-01-29,2022-01-30,2022-02-02,KLAYUSDT,GALAUSDT,-0.0558241072820832,-0.5838619584749616,0.11133106952976134,False,15,27945977.747589998,401146399.01019,1.2116,1.1832,0.19221,0.20547,-0.09242712465314373
2022-02-01,2022-02-02,2022-02-05,KLAYUSDT,MASKUSDT,-0.1499999999999999,-0.5518775303282376,0.09397266381991579,False,15,27945977.747589998,36924306.12435,1.1832,1.1928,6.274,6.474,-0.023763999790500145
2022-02-04,2022-02-05,2022-02-08,KLAYUSDT,GALAUSDT,-0.11390147856452926,-0.4651138112166393,0.08848835041151397,False,15,23638358.0294,417000046.162575,1.1928,1.2547,0.20153,0.3479,-0.6743991504893667
2022-02-07,2022-02-08,2022-02-11,DYDXUSDT,CELOUSDT,0.15118180466775666,-0.22359426681367145,0.11907207883692648,False,15,146599753.1252,37083057.55705,7.745,7.672,3.522,3.125,0.10329460966372384
2022-02-10,2022-02-11,2022-02-14,ARPAUSDT,MASKUSDT,0.2632985183385961,-0.33381036825021504,0.15176720897016746,False,15,14297915.226115,31247922.025,0.10402,0.08652,6.425,5.869,-0.08169991254300846
2022-02-13,2022-02-14,2022-02-17,ARPAUSDT,CELOUSDT,0.003595870548660285,-0.4214073339940535,0.12151837815649265,False,15,18531827.275755003,34806987.07,0.08652,0.09002,2.92,3.001,0.012713348406259817
2022-02-16,2022-02-17,2022-02-20,ARPAUSDT,CELOUSDT,0.09226660191817415,-0.34058448692595034,0.1382172246347348,False,13,20565718.673625,29698285.4889,0.09002,0.08057,3.001,2.719,-0.011007994743069016
2022-02-19,2022-02-20,2022-02-23,ARPAUSDT,MASKUSDT,0.09734513274336298,-0.3609221466364323,0.13767526389048607,False,12,27187182.730115,30256958.5825,0.08057,0.07079,5.072,4.432,0.004797834357646469
2022-02-25,2022-02-26,2022-03-01,GALAUSDT,CELOUSDT,0.23029322162985544,-0.21400523560209417,0.12431870521285669,False,10,1226263773.63142,26193956.759099998,0.25848,0.26042,2.404,2.646,-0.09316014112453641
2022-02-28,2022-03-01,2022-03-04,GALAUSDT,ENSUSDT,0.35502835440403735,-0.23526187272636667,0.16997858910087893,False,10,1234616705.50012,38851518.461,0.26042,0.24342,15.348,14.293,0.003459433436218462
2022-03-03,2022-03-04,2022-03-07,GALAUSDT,ENSUSDT,0.1844948413470897,-0.2620682533945996,0.14736831217449098,False,10,1288212621.80435,34863798.8531,0.24342,0.21598,14.293,14.023,-0.09383660804109784
2022-03-06,2022-03-07,2022-03-10,GALAUSDT,CTSIUSDT,0.07122309294712825,-0.33950236479539386,0.14002422726960545,False,10,1288212621.80435,11468573.5174,0.21598,0.23257,0.3211,0.3203,0.07930410352943118
2022-03-09,2022-03-10,2022-03-13,ARUSDT,CTSIUSDT,-0.0700751429213371,-0.40063622754491024,0.10641733014393337,False,10,59650360.47125,11468573.5174,37.236,30.675,0.3203,0.2869,-0.0719232110888629
2022-03-12,2022-03-13,2022-03-16,KLAYUSDT,CTSIUSDT,-0.05171083097504503,-0.4382595060760486,0.11484058588843032,False,9,29610786.244455,11468573.5174,1.1058,1.0752,0.2869,0.3115,-0.11341643519599853
2022-03-15,2022-03-16,2022-03-19,1000XECUSDT,CTSIUSDT,-0.027543150936467198,-0.2952488687782806,0.08695866564953475,False,9,10782839.13281,12384249.86705,0.07945,0.08122,0.3115,0.3283,-0.03165442190339496
2022-03-18,2022-03-19,2022-03-22,CELOUSDT,CTSIUSDT,0.028323892035988063,-0.3089875815617765,0.10913832319847616,False,7,27994807.2287,14185899.3572,3.086,2.877,0.3283,0.3409,-0.10610474154548999
2022-03-21,2022-03-22,2022-03-25,ARUSDT,CTSIUSDT,0.1574833781298628,-0.18814003334127172,0.1164010686435063,False,7,59650360.47125,16153726.01915,32.727,32.868,0.3409,0.3887,-0.13590870321885506
2022-03-24,2022-03-25,2022-03-28,PEOPLEUSDT,KLAYUSDT,0.3168593064966121,-0.07186348341611914,0.12319329198711289,False,8,178296915.72391,18327007.104264997,0.06609,0.08036,1.1585,1.1802,0.19718657017643726
2022-03-27,2022-03-28,2022-03-31,ARUSDT,KLAYUSDT,0.2856068890103882,-0.031347447891022506,0.095686974150596,False,8,56898485.47755,17598683.109065,37.637,38.8,1.1802,1.2117,0.004210052253229568
2022-03-30,2022-03-31,2022-04-03,ENSUSDT,KLAYUSDT,0.25596246578913084,-0.02258793159083572,0.0943812406429623,False,6,55140517.862900004,17598683.109065,19.275,18.574,1.2117,1.1608,0.005638744677783469
2022-04-02,2022-04-03,2022-04-06,CTSIUSDT,KLAYUSDT,0.3009198423127464,-0.006502951997946482,0.11852316494946169,False,6,23059270.2622,17598683.109065,0.4953,0.4533,1.1608,1.1264,-0.055162358005360734
2022-04-05,2022-04-06,2022-04-09,CTSIUSDT,KLAYUSDT,0.4106475716064757,-0.004946996466430931,0.11511586175966869,False,8,23059270.2622,17200639.65203,0.4533,0.3625,1.1264,1.0709,-0.15103682919323946
2022-04-08,2022-04-09,2022-04-12,CTSIUSDT,PEOPLEUSDT,0.13237589759600388,-0.15052436767427513,0.07485776976776834,False,9,23059270.2622,170124699.88173997,0.3625,0.3363,0.05507,0.04964,0.02632591748433033
2022-04-11,2022-04-12,2022-04-15,CTSIUSDT,PEOPLEUSDT,0.1730635031402652,-0.07768072848912833,0.07452092553564402,False,8,21142411.54575,165476997.392485,0.3363,0.3563,0.04964,0.05224,0.0070935954453388295
2022-04-14,2022-04-15,2022-04-18,CTSIUSDT,ANTUSDT,0.14382022471910116,-0.04027149321266965,0.05936000593698018,False,8,18491117.648199998,22732101.1403,0.3563,0.335,4.243,4.186,-0.0463471922419445
2022-04-17,2022-04-18,2022-04-21,CTSIUSDT,PEOPLEUSDT,0.020408163265306145,-0.22390652139586287,0.06922061053487877,False,8,15848646.92615,151904532.75339,0.335,0.353,0.04916,0.05323,-0.02905954361633656
2022-04-20,2022-04-21,2022-04-24,CTSIUSDT,PEOPLEUSDT,0.035787621003226855,-0.14736504885471724,0.06536815261615334,False,7,14921519.737300001,157132496.384475,0.353,0.3338,0.05323,0.04869,0.03089931501490939
2022-04-23,2022-04-24,2022-04-27,LPTUSDT,PEOPLEUSDT,-0.06118143459915615,-0.2630145278450363,0.06630884857267764,False,7,10854808.2936,151904532.75339,26.251,23.459,0.04869,0.04219,0.027139785084539958
2022-04-26,2022-04-27,2022-04-30,LPTUSDT,PEOPLEUSDT,-0.19510772608755322,-0.4750466708151836,0.09105740288145356,False,6,11602818.01325,130138914.63553,23.459,23.411,0.04219,0.04195,0.0036424287663768817
2022-04-29,2022-04-30,2022-05-03,ENSUSDT,PEOPLEUSDT,-0.15559821521220307,-0.4808858097241123,0.11799916948577051,False,6,39207947.487900004,127652538.08612499,16.273,26.028,0.04195,0.03693,0.7191254963086262
2022-05-02,2022-05-03,2022-05-06,ENSUSDT,DUSKUSDT,0.40108736609786266,-0.5095274142965286,0.34665513701310696,True,4,40874594.7194,24770856.18751,26.028,18.932,0.22696,0.22862,-0.27994354010125155
